player,score
Andre Iguodala,4999.026315789474
Brad Daugherty,4992.0625
Rudy Tomjanovich,4978.397727272727
Dan Majerle,4958.214285714285
Brandon Roy,4910.583333333334
Donnie Freeman,4885.666666666667
Doug Christie,4880.052631578948
Andrei Kirilenko,4834.115384615385
Bill Laimbeer,4819.71875
Otis Birdsong,4793.916666666667
Clifford Robinson,4778.75
Mack Calvin,4775.571428571428
Larry Kenon,4765.192307692308
Steve Francis,4742.363636363636
Kemba Walker,4735.833333333333
Larry Johnson,4734.5
Dale Ellis,4732.119047619048
Rolando Blackman,4717.884615384616
Ralph Simpson,4694.861471861472
Detlef Schrempf,4651.388888888889
Mark Jackson,4635.642857142858
Truck Robinson,4608.833333333334
Paul Pressey,4581.5
Tayshaun Prince,4575.815789473684
Dick Van Arsdale,4573.291666666667
Don Chaney,4522.8650793650795
Derrick Coleman,4521.5
Peja Stojaković,4506.055555555556
Bradley Beal,4492.307692307692
Goran Dragić,4426.478260869565
Fat Lever,4377.909090909092
Mark Aguirre,4362.166666666667
Domantas Sabonis,4350.909090909091
Billy Paultz,4331.4872291021675
Antoine Walker,4306.428571428572
Stephon Marbury,4292.176470588235
Jaylen Brown,4284.055555555556
Kevin Willis,4256.12962962963
Roger Brown,4228.125
Alvan Adams,4223.7692307692305
Tom Van Arsdale,4203.805555555556
Mike Gale,4186.309523809524
Randy Smith,4183.738095238095
Manu Ginóbili,4176.375
Trae Young,4173.714285714285
Luol Deng,4170.2941176470595
Richard Hamilton,4154.214285714285
Eddie Johnson,4149.181818181818
Phil Smith,4134.136363636363
Antawn Jamison,4119.0
Mike Conley,4107.125
P.J. Brown,4090.9999999999995
Larry Jones,4090.25
Bob Netolicky,4088.5909090909095
Andrew Wiggins,4079.8333333333335
Geoff Petrie,4078.083333333334
Warren Jabali,4067.8333333333335
Tree Rollins,4065.3055555555557
Patrick Beverley,4058.65625
Swen Nater,4057.166666666666
Gerald Wallace,4053.638888888889
Nikola Vučević,4030.8125
Lionel Hollins,4025.0
Red Robbins,4014.041666666666
Andre Drummond,4012.6315789473683
Phil Chenier,4007.541666666667
Derek Harper,4007.5277777777774
Terry Porter,4002.676470588235
Billy Knight,3996.3333333333335
Khris Middleton,3984.8846153846152
Archie Clark,3984.083333333333
